1,"銀座線から副都心線へ乗り換える場合は、表参道駅で半蔵門線に乗り換えの上、渋谷駅で半蔵門線から副都心線に乗り換えると移動距離が少なく便利です。","2015-01-29 02:14:41.826343","2015-01-29 02:14:41.826343"
2,"銀座線から東急東横線へ乗り換える場合は、表参道駅で半蔵門線に乗り換えの上、渋谷駅で半蔵門線から副都心線に乗り換えると移動距離が少なく便利です。","2015-01-29 02:14:42.156353","2015-01-29 02:14:42.156353"
3,"銀座線から東急田園都市線へ乗り換える場合は、表参道駅で半蔵門線の東急田園都市線直通列車にお乗り換え下さい。","2015-01-29 02:14:42.464363","2015-01-29 02:14:42.464363"
4,"南北線へ乗り換える場合は、／(1) 溜池山王駅で乗り換え ／ (2) 半蔵門線を利用の上、永田町駅で乗り換え ／ (3) 赤坂見附駅で丸ノ内線に乗り換え、四ツ谷駅で南北線に乗り換え／のいずれかをお勧めします。","2015-01-29 02:14:43.952408","2015-02-20 19:33:14.737296"
5,"丸ノ内線への乗り換えは赤坂見附駅が便利です。","2015-01-29 02:14:44.738432","2015-01-29 02:14:44.738432"
6,"日比谷線への乗り換えは上野駅が便利です。","2015-01-29 02:14:48.629551","2015-01-29 02:14:48.629551"
7,"普通乗車券またはICカードをご利用になり丸ノ内線新宿駅から都営新宿線新宿駅へ乗り換る場合、東京メトロと都営地下鉄の連絡割引は適用されません。連絡割引をご利用のお客さまは新宿三丁目駅でお乗り換え下さい。","2015-01-29 02:14:53.401696","2015-01-29 02:14:53.401696"
8,"平日朝の通勤・通学時間帯 7:50 - 9:20 に限り、丸ノ内線から副都心線への連絡通路を経由してのお乗り換えはできません。丸ノ内線から副都心線へお乗り換えのお客さまは、一旦改札を出てお乗り換え下さい。混雑緩和にご協力をお願いいたします。","2015-01-29 02:14:53.994714","2015-01-29 02:14:53.994714"
9,"銀座線への乗り換えは赤坂見附駅が便利です。","2015-01-29 02:14:57.236813","2015-01-29 02:14:57.236813"
10,"銀座線への乗り換えは上野駅が便利です。","2015-01-29 02:15:13.239301","2015-01-29 02:15:13.239301"
11,"都営新宿線への乗り換えは九段下駅が便利です。","2015-01-29 02:15:44.477254","2015-01-29 02:15:44.477254"
12,"副都心線から銀座線へ乗り換える場合は、渋谷駅で半蔵門線に乗り換えの上、表参道駅で半蔵門線から副都心線に乗り換えると移動距離が少なく便利です。","2015-01-29 02:16:00.300736","2015-01-29 02:16:00.300736"
13,"南北線への乗り換えは四ツ谷駅が便利です。","2015-02-20 19:35:38.482399","2015-02-20 19:52:10.760624"
14,"銀座線外苑前駅、銀座線渋谷駅をご利用の場合は、青山一丁目駅でのお乗り換えが便利です。","2015-02-20 19:39:44.452131","2015-02-20 19:39:44.452131"
15,"銀座線への乗り換えは溜池山王駅が便利です。","2015-02-20 19:43:46.307716","2015-02-20 19:43:46.307716"
16,"丸ノ内線への乗り換えは四ツ谷駅が便利です。","2015-02-20 19:44:21.677972","2015-02-20 19:44:21.677972"
